place_fips,place_name,is_gateway_city
2500135,"Abington CDP, Massachusetts",False
2500530,"Acushnet Center CDP, Massachusetts",False
2500590,"Adams CDP, Massachusetts",False
2500840,"Agawam Town city, Massachusetts",False
2501260,"Amesbury Town city, Massachusetts",False
2501370,"Amherst Town city, Massachusetts",False
2501430,"Andover CDP, Massachusetts",False
2501640,"Arlington CDP, Massachusetts",False
2502515,"Athol CDP, Massachusetts",False
2502690,"Attleboro city, Massachusetts",True
2503040,"Ayer CDP, Massachusetts",False
2503355,"Baldwinville CDP, Massachusetts",False
2503690,"Barnstable Town city, Massachusetts",True
2503705,"Barre CDP, Massachusetts",False
2504790,"Belchertown CDP, Massachusetts",False
2504965,"Bellingham CDP, Massachusetts",False
2505105,"Belmont CDP, Massachusetts",False
2505595,"Beverly city, Massachusetts",False
2506050,"Blandford CDP, Massachusetts",False
2506170,"Bliss Corner CDP, Massachusetts",False
2507000,"Boston city, Massachusetts",False
2507140,"Bourne CDP, Massachusetts",False
2507385,"Boxford CDP, Massachusetts",False
2507740,"Braintree Town city, Massachusetts",False
2507945,"Brewster CDP, Massachusetts",False
2508130,"Bridgewater Town city, Massachusetts",False
2509000,"Brockton city, Massachusetts",True
2509070,"Brookfield CDP, Massachusetts",False
2509210,"Brookline CDP, Massachusetts",False
2509875,"Burlington CDP, Massachusetts",False
2510015,"Buzzards Bay CDP, Massachusetts",False
2511000,"Cambridge city, Massachusetts",False
2511945,"Cedar Crest CDP, Massachusetts",False
2512960,"Chatham CDP, Massachusetts",False
2513205,"Chelsea city, Massachusetts",True
2513310,"Cheshire CDP, Massachusetts",False
2513450,"Chester CDP, Massachusetts",False
2513660,"Chicopee city, Massachusetts",True
2514430,"Clinton CDP, Massachusetts",False
2514570,"Cochituate CDP, Massachusetts",False
2515340,"Cordaville CDP, Massachusetts",False
2516285,"Danvers CDP, Massachusetts",False
2516530,"Dedham CDP, Massachusetts",False
2516635,"Deerfield CDP, Massachusetts",False
2516740,"Dennis CDP, Massachusetts",False
2516810,"Dennis Port CDP, Massachusetts",False
2516840,"Devens CDP, Massachusetts",False
2517370,"Dover CDP, Massachusetts",False
2517860,"Duxbury CDP, Massachusetts",False
2518595,"East Brookfield CDP, Massachusetts",False
2518840,"East Dennis CDP, Massachusetts",False
2518875,"East Douglas CDP, Massachusetts",False
2518980,"East Falmouth CDP, Massachusetts",False
2519400,"East Harwich CDP, Massachusetts",False
2520310,"East Pepperell CDP, Massachusetts",False
2520380,"East Sandwich CDP, Massachusetts",False
2519370,"Easthampton Town city, Massachusetts",False
2521115,"Edgartown CDP, Massachusetts",False
2521815,"Essex CDP, Massachusetts",False
2521990,"Everett city, Massachusetts",True
2523000,"Fall River city, Massachusetts",True
2523070,"Falmouth CDP, Massachusetts",False
2523840,"Fiskdale CDP, Massachusetts",False
2523875,"Fitchburg city, Massachusetts",True
2524190,"Forestdale CDP, Massachusetts",False
2524855,"Foxborough CDP, Massachusetts",False
2524960,"Framingham city, Massachusetts",False
2525172,"Franklin Town city, Massachusetts",False
2525485,"Gardner city, Massachusetts",False
2526150,"Gloucester city, Massachusetts",False
2526500,"Granby CDP, Massachusetts",False
2526780,"Great Barrington CDP, Massachusetts",False
2527130,"Green Harbor CDP, Massachusetts",False
2527060,"Greenfield city, Massachusetts",False
2527445,"Groton CDP, Massachusetts",False
2528425,"Hanscom AFB CDP, Massachusetts",False
2528460,"Hanson CDP, Massachusetts",False
2529055,"Harwich Center CDP, Massachusetts",False
2529090,"Harwich Port CDP, Massachusetts",False
2529230,"Hatfield CDP, Massachusetts",False
2529405,"Haverhill city, Massachusetts",True
2530175,"Hingham CDP, Massachusetts",False
2530420,"Holbrook CDP, Massachusetts",False
2530630,"Holland CDP, Massachusetts",False
2530840,"Holyoke city, Massachusetts",True
2530980,"Hopedale CDP, Massachusetts",False
2531050,"Hopkinton CDP, Massachusetts",False
2531295,"Housatonic CDP, Massachusetts",False
2531575,"Hudson CDP, Massachusetts",False
2531680,"Hull CDP, Massachusetts",False
2531750,"Huntington CDP, Massachusetts",False
2532275,"Ipswich CDP, Massachusetts",False
2533185,"Kingston CDP, Massachusetts",False
2534550,"Lawrence city, Massachusetts",True
2534620,"Lee CDP, Massachusetts",False
2534935,"Lenox CDP, Massachusetts",False
2535040,"Lenox Dale CDP, Massachusetts",False
2535075,"Leominster city, Massachusetts",True
2535250,"Lexington CDP, Massachusetts",False
2536020,"Littleton Common CDP, Massachusetts",False
2536335,"Longmeadow CDP, Massachusetts",False
2537000,"Lowell city, Massachusetts",True
2537385,"Lunenburg CDP, Massachusetts",False
2537490,"Lynn city, Massachusetts",True
2537595,"Lynnfield CDP, Massachusetts",False
2537735,"Madaket CDP, Massachusetts",False
2537875,"Malden city, Massachusetts",True
2538230,"Mansfield Center CDP, Massachusetts",False
